icd_code,condition,weight
I21,myocardial_infarction,1
I210,myocardial_infarction,1
I211,myocardial_infarction,1
I212,myocardial_infarction,1
I213,myocardial_infarction,1
I214,myocardial_infarction,1
I219,myocardial_infarction,1
I22,myocardial_infarction,1
I220,myocardial_infarction,1
I221,myocardial_infarction,1
I228,myocardial_infarction,1
I229,myocardial_infarction,1
I252,myocardial_infarction,1
I230,myocardial_infarction,1
I231,myocardial_infarction,1
I232,myocardial_infarction,1
I233,myocardial_infarction,1
I234,myocardial_infarction,1
I235,myocardial_infarction,1
I236,myocardial_infarction,1
I238,myocardial_infarction,1
I099,congestive_heart_failure,1
I110,congestive_heart_failure,1
I130,congestive_heart_failure,1
I132,congestive_heart_failure,1
I255,congestive_heart_failure,1
I420,congestive_heart_failure,1
I425,congestive_heart_failure,1
I426,congestive_heart_failure,1
I427,congestive_heart_failure,1
I428,congestive_heart_failure,1
I429,congestive_heart_failure,1
I43,congestive_heart_failure,1
I50,congestive_heart_failure,1
I500,congestive_heart_failure,1
I501,congestive_heart_failure,1
I509,congestive_heart_failure,1
P290,congestive_heart_failure,1
I70,peripheral_vascular_disease,1
I700,peripheral_vascular_disease,1
I701,peripheral_vascular_disease,1
I702,peripheral_vascular_disease,1
I703,peripheral_vascular_disease,1
I704,peripheral_vascular_disease,1
I705,peripheral_vascular_disease,1
I706,peripheral_vascular_disease,1
I708,peripheral_vascular_disease,1
I709,peripheral_vascular_disease,1
I71,peripheral_vascular_disease,1
I710,peripheral_vascular_disease,1
I711,peripheral_vascular_disease,1
I712,peripheral_vascular_disease,1
I713,peripheral_vascular_disease,1
I714,peripheral_vascular_disease,1
I715,peripheral_vascular_disease,1
I716,peripheral_vascular_disease,1
I718,peripheral_vascular_disease,1
I719,peripheral_vascular_disease,1
I731,peripheral_vascular_disease,1
I738,peripheral_vascular_disease,1
I739,peripheral_vascular_disease,1
I771,peripheral_vascular_disease,1
I790,peripheral_vascular_disease,1
I792,peripheral_vascular_disease,1
K551,peripheral_vascular_disease,1
K558,peripheral_vascular_disease,1
K559,peripheral_vascular_disease,1
Z958,peripheral_vascular_disease,1
Z959,peripheral_vascular_disease,1
G45,cerebrovascular_disease,1
G450,cerebrovascular_disease,1
G451,cerebrovascular_disease,1
G452,cerebrovascular_disease,1
G453,cerebrovascular_disease,1
G454,cerebrovascular_disease,1
G458,cerebrovascular_disease,1
G459,cerebrovascular_disease,1
G46,cerebrovascular_disease,1
G460,cerebrovascular_disease,1
G461,cerebrovascular_disease,1
G462,cerebrovascular_disease,1
I60,cerebrovascular_disease,1
I61,cerebrovascular_disease,1
I62,cerebrovascular_disease,1
I63,cerebrovascular_disease,1
I64,cerebrovascular_disease,1
I65,cerebrovascular_disease,1
I66,cerebrovascular_disease,1
I67,cerebrovascular_disease,1
I68,cerebrovascular_disease,1
I69,cerebrovascular_disease,1
F00,dementia,1
F000,dementia,1
F001,dementia,1
F002,dementia,1
F009,dementia,1
F01,dementia,1
F010,dementia,1
F011,dementia,1
F012,dementia,1
F013,dementia,1
F018,dementia,1
F019,dementia,1
F02,dementia,1
F020,dementia,1
F021,dementia,1
F022,dementia,1
F023,dementia,1
F024,dementia,1
F028,dementia,1
F03,dementia,1
F051,dementia,1
G30,dementia,1
G300,dementia,1
G301,dementia,1
G308,dementia,1
G309,dementia,1
G311,dementia,1
I278,chronic_pulmonary_disease,1
I279,chronic_pulmonary_disease,1
J40,chronic_pulmonary_disease,1
J41,chronic_pulmonary_disease,1
J410,chronic_pulmonary_disease,1
J411,chronic_pulmonary_disease,1
J418,chronic_pulmonary_disease,1
J42,chronic_pulmonary_disease,1
J43,chronic_pulmonary_disease,1
J430,chronic_pulmonary_disease,1
J431,chronic_pulmonary_disease,1
J432,chronic_pulmonary_disease,1
J438,chronic_pulmonary_disease,1
J439,chronic_pulmonary_disease,1
J44,chronic_pulmonary_disease,1
J440,chronic_pulmonary_disease,1
J441,chronic_pulmonary_disease,1
J448,chronic_pulmonary_disease,1
J449,chronic_pulmonary_disease,1
J45,chronic_pulmonary_disease,1
J450,chronic_pulmonary_disease,1
J451,chronic_pulmonary_disease,1
J458,chronic_pulmonary_disease,1
J459,chronic_pulmonary_disease,1
J46,chronic_pulmonary_disease,1
J47,chronic_pulmonary_disease,1
J60,chronic_pulmonary_disease,1
J61,chronic_pulmonary_disease,1
J62,chronic_pulmonary_disease,1
J620,chronic_pulmonary_disease,1
J628,chronic_pulmonary_disease,1
J63,chronic_pulmonary_disease,1
J64,chronic_pulmonary_disease,1
J65,chronic_pulmonary_disease,1
J66,chronic_pulmonary_disease,1
J660,chronic_pulmonary_disease,1
J661,chronic_pulmonary_disease,1
J662,chronic_pulmonary_disease,1
J668,chronic_pulmonary_disease,1
J67,chronic_pulmonary_disease,1
J684,chronic_pulmonary_disease,1
J701,chronic_pulmonary_disease,1
J703,chronic_pulmonary_disease,1
M05,rheumatologic_disease,1
M050,rheumatologic_disease,1
M051,rheumatologic_disease,1
M052,rheumatologic_disease,1
M053,rheumatologic_disease,1
M058,rheumatologic_disease,1
M059,rheumatologic_disease,1
M06,rheumatologic_disease,1
M060,rheumatologic_disease,1
M061,rheumatologic_disease,1
M062,rheumatologic_disease,1
M063,rheumatologic_disease,1
M064,rheumatologic_disease,1
M068,rheumatologic_disease,1
M069,rheumatologic_disease,1
M315,rheumatologic_disease,1
M32,rheumatologic_disease,1
M320,rheumatologic_disease,1
M321,rheumatologic_disease,1
M328,rheumatologic_disease,1
M329,rheumatologic_disease,1
M33,rheumatologic_disease,1
M330,rheumatologic_disease,1
M331,rheumatologic_disease,1
M332,rheumatologic_disease,1
M339,rheumatologic_disease,1
M34,rheumatologic_disease,1
M340,rheumatologic_disease,1
M341,rheumatologic_disease,1
M342,rheumatologic_disease,1
M348,rheumatologic_disease,1
M349,rheumatologic_disease,1
M351,rheumatologic_disease,1
M353,rheumatologic_disease,1
M360,rheumatologic_disease,1
